SKU;EAN;Nazwa produktu (BL);Kategoria BTP (główna);Kategoria BTP (podkategoria);Proponowana kategoria sklepu;Slug kategorii;BL Category ID;Status
CTFBA50019;8435497235307;"Notatnik";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
CTFBA50020;8435497235314;"Notatnik Harry Potter";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
BFO-BX3-W;6931474712776;"Zestaw kabli zapakowanych w tuby, na stojaku nablatowym 30 szt";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
41877;4001190418770;"Miękka piłka z wypustkami owady na łące grzechotką 14x22 22cm";Dziecko;Zabawki;Dla dziecka > Zabawki;zabawki;2804079;OK
50233;6934510502331;"Toster drewniany";Dziecko;Zabawki;Dla dziecka > Zabawki;zabawki;2804079;OK
59461;;"Kostka do układania drewniane";;;;;;BRAK W CSV
59611;;"Układanka kształty geometryczne drewniane";;;;;;BRAK W CSV
NPC-166DU;6924715900001;"Kamera internetowa USB, 1080p Czarna";Elektronika;Komputery;Elektronika i GSM > Etui i pokrowce > Do tabletów i laptopów;do-tabletow-i-laptopow;2805806;OK
GR07;;"Akumulator 2x AAA HR03 950mAh Green Cell";;;;;;BRAK W CSV
MARE0044;8435497222932;"Plecak Pusheen kolekcji Rose";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
MGGE016;8435497254377;"Mata gamingowa Harry Potter";Dziecko;Pokój wyposażenie;Dom > Wyposażenie i akcesoria;wyposazenie-i-akcesoria;2806817;OK
8711252869117;;"Środek do usuwania owadów 500ml";;;;;;BRAK W CSV
8711252150338YELLOW;5907731989015;"Gumy do mocowania bagażu 2x150cm Żołty";Motoryzacja;Akcesoria samochodowe;Motoryzacja > Akcesoria i części;akcesoria-i-czesci;2810030;OK
8711252163024PINK;5907731989633;"Opaska sportowa na ramię różowa";Sport i turystyka;Sport;Sport i turystyka > Rowery i akcesoria;rowery-i-akcesoria;2804321;OK
8711252071275BLUE;5907731989916;"Pokrowiec na plecak niebieski";Sport i turystyka;Turystyka;Sport i turystyka > Sprzęt turystyczny;sprzet-turystyczny;2806620;OK
8711252071275DGRAY;5907731989893;"Pokrowiec peleryna na plecak Ciemny szary";Sport i turystyka;Turystyka;Sport i turystyka > Sprzęt turystyczny;sprzet-turystyczny;2806620;OK
8711252071275LGRAY;5907731989909;"Pokrowiec na plecak Jasny szary";Sport i turystyka;Turystyka;Sport i turystyka > Sprzęt turystyczny;sprzet-turystyczny;2806620;OK
8711252158334VIOLET;5907731989817;"Plecak fioletowe";Sport i turystyka;Turystyka;Sport i turystyka > Sprzęt turystyczny;sprzet-turystyczny;2806620;OK
8711252053233;8711252053233;"Organizer samochodowy na osłonę przeciwsloneczną";Motoryzacja;Akcesoria samochodowe;Motoryzacja > Akcesoria i części;akcesoria-i-czesci;2810030;OK
8711252165738;;"Klocki 120 szt";;;;;;BRAK W CSV
6942138940480BLUE;5907731989244;"Materac nadmuchiwany plażowy 183x69cm niebieski";Dziecko;Plaża woda;Dla dziecka > Zabawki ogrodowe;zabawki-ogrodowe;2805763;OK
MARE0073;;"Piórnik Line friends";;;;;;BRAK W CSV
620-0389;8712645269378;"Piórnik niebieski";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
8711252131054GREEN;5907731985604;"Sznurek do prania zielony";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
8711252159454PINK;;"Kubek termiczny 20l różowe";;;;;;BRAK W CSV
6942138967999;6942138967999;"Basen dmuchany 152x30cm przezroczysty";Dziecko;Plaża woda;Dla dziecka > Zabawki ogrodowe;zabawki-ogrodowe;2805763;OK
8711252129457;8711252129457;"Zestaw do rysowania 65 elementów";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
8711252418148;;"Rękawica do mycia auta 2w1 mikrofibra frędzle";;;;;;BRAK W CSV
8711252165745;;"Zestaw klocków 500szt";;;;;;BRAK W CSV
8711252185873;8711252185873;"Farby akwarelowe w tubkach 12ml 12 kolorów";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
8715349037083;;"Zestaw do gry plażowej beach piłka zabawa";;;;;;BRAK W CSV
8711252521015;8711252521015;"Zestaw mazaków";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
CRG-CH5-BLK;5907731984386;"Uchwyt samochodowy grawitacyjny 47/65 Crong czarna";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
CRG-CH1-BLK;5907731984348;"Uchwyt magnetic smart samochodowy magnetyczny czarneCrong";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
8711252003733LGRAY;;"Ręcznik kąpielowy 90x180 jasny szary";;;;;;BRAK W CSV
8711252003733DGRAY;;"Ręcznik kąpielowy 90x180 ciemny szary";;;;;;BRAK W CSV
INFD32GBISHUTTLE;5055288435315;"Pamięć przenośna 32GB USB/lightning IShuttle";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
41104;8412497411047;"Kraina Lodu 2 wielorazowa owijka śniadaniowa Elements 2";Dziecko;Posiłki;Dla dziecka > Przybory i akcesoria;przybory-i-akcesoria;2813436;OK
42105;8412497421053;"Torba wielorazowa lunchowa Myszka Minnie";Dziecko;Posiłki;Dla dziecka > Przybory i akcesoria;przybory-i-akcesoria;2813436;OK
STM-117-186P-05;742186993577;"Plecak myth 18L MacBook Pro czarny";Elektronika;Komputery;Elektronika i GSM > Etui i pokrowce > Do tabletów i laptopów;do-tabletow-i-laptopow;2805806;OK
8711252031477NAVY;;"Koc 150x200cm granatowa";;;;;;BRAK W CSV
8711252176789STONES;5904501200431;"Mata Łazienkowa antypoślizgowa 65 X kamienie 180cm szary";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
LINE3332;5055918633326;"Piórnik";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
PC6B;5902020351382;"PlastoCoolki błyszczące 6 szt.";Dziecko;Zabawki;Dla dziecka > Zabawki;zabawki;2804079;OK
CAT0074;8435497234973;"Segregator z kolekcji foodie 4 ringi Pusheen";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
INV11;;"Przetwornica napięcia inwerter ® na Green Cell Green Cell";;;;;;BRAK W CSV
620-0390;8712645269347;"Portfel na sznurku niebieski";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
MARE0062;8435497232832;"Saszetka Pusheen kolekcja Rose";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
MARE0077;8435497233181;"Piórnik Pusheen";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
KPGE001;8435497253073;"Zestaw piśmienniczy z kolekcji foodie 13 elementów Pusheen";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
SEGE001;8435497253080;"Zestaw pismienniczy z kolekcji foodie 6 elementów Pusheen";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
SSGP001;8435497253097;"Zestaw pismienniczy z kolekcji foodie 7 elementów Pusheen";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
SVGE001;8435497252809;"Zestaw podrożny z kolekcji foodie Pusheen";Dziecko;Pozostałe;Dla dziecka > Gadżety;gadzety-1;2804280;OK
MARE0078;8435497233198;"Piórnik z kolekcji Foodie Pusheen";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
STM-936-327Y-01;742186994017;"Uchwyt na palec z funkcją podstawki otwieracz czarny MagSafe";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
CS21004;8435497247447;"Kalendarz biurkowy Pusheen";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
MARE0010;8435497201043;"Plecak ze sznurkami";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
MARE0011;8435497201050;"Piórnik z kolekcji Marinero";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
688118200644;068811820064;"Taśma maskująca 3.6x50m";Dom i ogród;Narzędzia;Narzędzia > Narzędzia ręczne;narzedzia-reczne;2810023;OK
ZBM.SECURITY;;"Zipabox Security Expansion Module Moduł bezpieczeństwa";;;;;;BRAK W CSV
YCEBUB72BU00;;"Klawiatura niebieska E Mazer Mechanical 729, do gry, czarna, przewodowa USB";;;;;;BRAK W CSV
CP22019;8435497259631;"Kalendarz ścienny 30x30cm Pusheen";Dziecko;Pokój wyposażenie;Dom > Wyposażenie i akcesoria;wyposazenie-i-akcesoria;2806817;OK
8711252542379_2;;"Obcinacz do paznokci";;;;;;BRAK W CSV
8711252174761;8711252174761;"Podgrzewacz";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
8711252267555_2;;"Zestaw bambusowych przyborów do gotowania 5 szt. ze stojakiem szary";;;;;;BRAK W CSV
8711252171388;8711252171388;"Zestaw drewnianych łyżek 16cm 50 szt";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
CP21033;8435497246822;"Kalendarz do planowania codziennego Pusheen";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
GURSEQGBK;3700740443583;"Magnetyczny uchwyt na palec Guess złote";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
44079;8412497440795;"Naczynia dla dzieci Myszka Miki";Dziecko;Posiłki;Dla dziecka > Przybory i akcesoria;przybory-i-akcesoria;2813436;OK
MARE0076;8435497233174;"Plecak Pusheen";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
8711252063812;;"Zestaw kompresor 12 100Psi, z wężem końcówkami";;;;;;BRAK W CSV
8711252179889_WHITE;5904501201360;"Zestaw łazienkowy 6 elementów białe";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
6942138930573;;"Koło do pływania duże 91cm wzór opona";;;;;;BRAK W CSV
6942138949650_RED;5904501201445;"Rękawki do pływania dla dzieci 23x15cm Truskawka";Sport i turystyka;Turystyka;Sport i turystyka > Sprzęt turystyczny;sprzet-turystyczny;2806620;OK
6942138915679_RED;;"Basen gastronomiczny ogrodowy dmuchany 183x33cm czerwone";;;;;;BRAK W CSV
6942138952209;;"Materac dmuchany Rożek lodowy 188x95cm";;;;;;BRAK W CSV
56256;8412497562565;"Torba termiczna śniadaniowa";Dziecko;Posiłki;Dla dziecka > Przybory i akcesoria;przybory-i-akcesoria;2813436;OK
LINE3398;5055918633982;"Notes Pluszowy";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
GP85559;5050293855592;"Maseczka ochronna 2 sztuki, 3 warstwy filtrujące Superman";Dziecko;Pozostałe;Dla dziecka > Gadżety;gadzety-1;2804280;OK
8711252003726WHITE;5904501201070;"Ręcznik kąpielowy 70x140 białe";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
8711252175201_RED;5904501201629;"Torba plażowa czerwone";Sport i turystyka;Turystyka;Sport i turystyka > Sprzęt turystyczny;sprzet-turystyczny;2806620;OK
8711252989006;;"Lampa RGB Mood light, zmieniające kolory, z pilotem";;;;;;BRAK W CSV
8711252127460;8711252127460;"Ściągaczka do wody z szyb, luster";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
8711252855615_BLUE;5904501201933;"Gumy do mocowania bagażu 100cm 2 szt";Motoryzacja;Akcesoria samochodowe;Motoryzacja > Akcesoria i części;akcesoria-i-czesci;2810030;OK
8711252855387_BROWN;5904501201957;"Podkładka stołowa 43x30cm brązowe";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
8711252169156_ORANGE;5904501202046;"Plażowy stojak na napoje";Sport i turystyka;Turystyka;Sport i turystyka > Sprzęt turystyczny;sprzet-turystyczny;2806620;OK
8711252456539;8711252456539;"Szpikulce do szaszłyków z drewnianą rączką długie 38cm 4szt";Dom i ogród;Ogród;Ogród i Gospodarstwo > Ogród i narzędzia ogrodowe;ogrod-i-narzedzia-ogrodowe;2806847;OK
8711252347738;8711252347738;"Widelec do grillowania długi z drewnianą rączką 41cm";Dom i ogród;Ogród;Ogród i Gospodarstwo > Ogród i narzędzia ogrodowe;ogrod-i-narzedzia-ogrodowe;2806847;OK
8711252347714;8711252347714;"Szpatuła do grillowania dębowa rączka 41cm";Dom i ogród;Ogród;Ogród i Gospodarstwo > Ogród i narzędzia ogrodowe;ogrod-i-narzedzia-ogrodowe;2806847;OK
8711252162515;8711252162515;"Zestaw do sprzątania 6w1";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
8711252145747_RED;5904501202145;"Pędzelek silikonowy do marynowania potraw 21cm czerwone";Dom i ogród;Wyposażenie;Dom > Kuchnia;kuchnia;2813574;OK
8711252145747_PINK;;"Pędzelek silikonowy do marynowania potraw 21cm różowe";;;;;;BRAK W CSV
GUSTSASSK;3666339048389;"Zawieszka Guess";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
GUSTPEARK;3666339048310;"Zawieszka do telefonu";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
MARE0041;8435497222864;"Plecak z kolekcji Pastel";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
MARE0084;8435497243647;"Plecak z kolekcji Classic";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
INV10;;"Przetwornica napięcia Inwerter 12V na 230V 2000W Green Cell";;;;;;BRAK W CSV
GURSHCHMAU;;"Stojak Magnetyczny uchwyt na palec Guess fioletowe";;;;;;BRAK W CSV
GUSTPEARW;3666339048303;"Zawieszka do telefonu 25 cm";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
GUSTFLWP;3666339048365;"Zawieszka do telefonu 25";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
MARE0052;8435497228316;"Kosmetyczka Pusheen kolekcja Rose";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
GOM053;;"Zestaw gumek do mazania 2szt. Star Wars";;;;;;BRAK W CSV
MARE0129;8435497261429;"Piórnik pluszowy na przybory Koya";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
MARE0142;;"Kosmetyczka Line Friends Duża podróżna z uchwytem do powieszenia";;;;;;BRAK W CSV
BD500A;6971536921111;"Uchwyt samochodowy grawitacyjny na kratkę, szerokość 57-83mm czarny";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
BD500C;6971536921135;"Uchwyt samochodowy grawitacyjny na kratkę, szerokość 57-83mm czarny";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
GR01;;"Akumulator 4x AA HR6 2600mAh Green Cell";;;;;;BRAK W CSV
GR03;;"Akumulator 4x AAA HR03 950mAh Green Cell";;;;;;BRAK W CSV
GUWBSATMBK;3666339050498;"Torba na smartfona akcesoria Guess czarny";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
GUWBP4TMPI;3666339050566;"Torba na smartfona akcesoria Guess różowe";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
CRG-ALUBN-SLV;5907731987233;"Aluminiowa podstawka do laptopa";Elektronika;Komputery;Elektronika i GSM > Etui i pokrowce > Do tabletów i laptopów;do-tabletow-i-laptopow;2805806;OK
600WB24982;;"Modern Fit Band Bransoleta Samsung Galaxy Watch 4 Spigen";;;;;;BRAK W CSV
CSG0059;8435497223496;"Teczka do przechowywania dokumentów króliczek Cony A4 24x34cm";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
8711252415796;8711252415796;"Ściągaczka do szyb z regulowaną rączką";Motoryzacja;Akcesoria samochodowe;Motoryzacja > Akcesoria i części;akcesoria-i-czesci;2810030;OK
GP85566;5050293855660;"Maseczka Scooby Doo ochronna 2 sztuki, 3 warstwy filtrujące";Dziecko;Pozostałe;Dla dziecka > Gadżety;gadzety-1;2804280;OK
GP85574;5050293855745;"Maseczka ochronna 2 sztuki, 3 warstwy filtrujące Friends";Dziecko;Pozostałe;Dla dziecka > Gadżety;gadzety-1;2804280;OK
GDGE010;;"Zestaw 16 naklejek na laptopa Pusheen";;;;;;BRAK W CSV
MFIGE001;8435497253295;"Ramka Magnetyczna na zdjęcie Star Wars";Dziecko;Pozostałe;Dla dziecka > Gadżety;gadzety-1;2804280;OK
A204;5902020351603;"Aqua Koraliki biedronka";Dziecko;Zabawki;Dla dziecka > Zabawki;zabawki;2804079;OK
70070;4012854700704;"Piramidka do układania Anabac";Dziecko;Zabawki;Dla dziecka > Zabawki;zabawki;2804079;OK
8711252156132;8711252156132;"Zestaw malarski miska na farbę z wałkiem";Dom i ogród;Narzędzia;Narzędzia > Narzędzia ręczne;narzedzia-reczne;2810023;OK
8711252029108;8711252029108;"Zestaw 13 śrubokrętów";Dom i ogród;Narzędzia;Narzędzia > Narzędzia ręczne;narzedzia-reczne;2810023;OK
44201;8412497442010;"Kubeczek na przekąski 400 ml Myszka Miki";Dziecko;Butelki kubki;Dla dziecka > Przybory i akcesoria;przybory-i-akcesoria;2813436;OK
CRG-CH4-BLK;5907731984379;"Uchwyt samochodowy grawitacyjny Crong czarny";Elektronika;Telefony i akcesoria;Elektronika i GSM > Etui i pokrowce > Na telefon;na-telefon;2804212;OK
6942138915662RED;5907731989213;"Dmuchany basen 152x30cm czerwone";Dziecko;Plaża woda;Dla dziecka > Zabawki ogrodowe;zabawki-ogrodowe;2805763;OK
8711252173214GREEN;5907731988469;"Pistolet na wodę zielone";Dziecko;Plaża woda;Dla dziecka > Zabawki ogrodowe;zabawki-ogrodowe;2805763;OK
CAT0070;;"Segregator Line Friends pierścieniowy do przechowywania dokumentów z 4";;;;;;BRAK W CSV
KLBPPBOA2K;;"Zestaw etui do Apple AirPods 1";;;;;;BRAK W CSV
GR02;;"Akumulator 4x AA HR6 2000mAh Green Cell";;;;;;BRAK W CSV
GR04;;"Akumulator 4x AAA HR03 800mAh Green Cell";;;;;;BRAK W CSV
CSG0081;8435497235017;"Teczka do przechowywania dokumentów z kolekcji Foodie Pusheen";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
CTFBA50001;8435497223076;"Notatnik A5 z kolekcji Foodie Pusheen";Dziecko;Pisanie rysowanie malowanie;Dla dziecka > Artykuły plastyczne i kreatywne;artykuly-plastyczne-i-kreatywne;2810096;OK
8711252319728NEON;;"Zestaw długopisow żelowych 8 neonowych 4 standardowe";;;;;;BRAK W CSV
8711252319858GREEN;5907731988643;"Nożyczki ze zwierzęcym wzorem zielone";Dziecko;Artykuły szkolne;Dla dziecka > Artykuły szkolne i papiernicze;artykuly-szkolne-i-papiernicze;2804123;OK
8711252922713PURPLE;;"Tablica magnetyczna fioletowe";;;;;;BRAK W CSV
8711252132655PINK;5907731988780;"Wiaderko do piasku Zamek 20cm różowe";Dziecko;Plaża woda;Dla dziecka > Zabawki ogrodowe;zabawki-ogrodowe;2805763;OK
8711252185927YELLOW;5907731988926;"Zabawka dopasowanie kształtów";Dziecko;Zabawki;Dla dziecka > Zabawki;zabawki;2804079;OK
